standard_key,standard_title,grade,level,text
know_god,KNOW GOD,9,emerging,"Begin to show spiritual knowledge through Biblical literacy and engagement with Scripture.

Begin to show spiritual knowledge through prayer and spiritual practices"
know_god,KNOW GOD,9,developing,"Partially show spiritual knowledge through Biblical literacy and engagement with Scripture.

Partially show spiritual knowledge through prayer and spiritual practices"
know_god,KNOW GOD,9,proficient,"Show spiritual knowledge through Biblical literacy and engagement with Scripture.

Show spiritual knowledge through prayer and spiritual practices"
know_god,KNOW GOD,9,extending,"Fully show spiritual knowledge through Biblical Literacy and engagement with Scripture.

Fully show spiritual knowledge through prayer and spiritual practices"
know_god,KNOW GOD,10,emerging,"Begin to apply spiritual knowledge through Biblical literacy and engagement with Scripture."
know_god,KNOW GOD,10,developing,"Partially apply spiritual knowledge through Biblical literacy and engagement with Scripture."
know_god,KNOW GOD,10,proficient,"Apply spiritual knowledge through Biblical literacy and engagement with Scripture."
know_god,KNOW GOD,10,extending,"Fully apply spiritual knowledge through Biblical literacy and engagement with Scripture."
know_god,KNOW GOD,11,emerging,"Begin to demonstrate spiritual knowledge through Biblical literacy and engagement with Scripture.

Begin to demonstrate spiritual knowledge through prayer and spiritual practices"
know_god,KNOW GOD,11,developing,"Partially demonstrate spiritual knowledge through Biblical literacy and engagement with Scripture.

Partially demonstrate spiritual knowledge through prayer and spiritual practices"
know_god,KNOW GOD,11,proficient,"Demonstrate spiritual knowledge through Biblical literacy and engagement with Scripture.

Demonstrate spiritual knowledge through prayer and spiritual practices"
know_god,KNOW GOD,11,extending,"Fully demonstrate spiritual knowledge through Biblical literacy and engagement with Scripture.

Fully demonstrate spiritual knowledge through prayer and spiritual practices"
know_god,KNOW GOD,12,emerging,"Begin to exemplify spiritual knowledge through Biblical literacy and engagement with Scripture.

Begin to exemplify spiritual knowledge through prayer and spiritual practices"
know_god,KNOW GOD,12,developing,"Partially exemplify spiritual knowledge through Biblical literacy and engagement with Scripture.

Partially exemplify spiritual knowledge through prayer and spiritual practices"
know_god,KNOW GOD,12,proficient,"Exemplify spiritual knowledge through Biblical literacy and engagement with Scripture.

Exemplify spiritual knowledge through prayer and spiritual practices"
know_god,KNOW GOD,12,extending,"Fully exemplify spiritual knowledge through Biblical literacy and engagement with Scripture.

Fully exemplify spiritual knowledge through prayer and spiritual practices"
know_self,KNOW SELF,9,emerging,"Begin to show personal identity through self-reflection, Biblical truth, and practicing discernment

Begin to show confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,9,developing,"Partially show personal identity through self-reflection, Biblical truth, and practicing discernment

Partially show confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,9,proficient,"Show personal identity through self-reflection, Biblical truth, and practicing discernment

Show confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,9,extending,"Fully show personal identity through self-reflection, Biblical truth, and practicing discernment

Fully show confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,10,emerging,"Begin to apply personal identity through self-reflection, Biblical truth, and practicing discernment

Begin to apply confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,10,developing,"Partially apply personal identity through self-reflection, Biblical truth, and practicing discernment

Partially apply confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,10,proficient,"Apply personal identity through self-reflection, Biblical truth, and practicing discernment

Apply confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,10,extending,"Fully apply personal identity through self-reflection, Biblical truth, and practicing discernment

Fully apply confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,11,emerging,"Begin to demonstrate personal identity through self-reflection, Biblical truth, and practicing discernment

Begin to demonstrate confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,11,developing,"Partially demonstrate personal identity through self-reflection, Biblical truth, and practicing discernment

Partially demonstrate confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,11,proficient,"Demonstrate personal identity through self-reflection, Biblical truth, and practicing discernment

Demonstrate confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,11,extending,"Fully demonstrate personal identity through self-reflection, Biblical truth, and practicing discernment

Fully demonstrate confidence and purpose through personal strengths and God-given gifts"
know_self,KNOW SELF,12,emerging,"Begin to exemplify personal identity through self-reflection, Biblical truth, and practicing discernment

Begin to exemplify confidence and purpose through personal strengths and God-given gifts"
