standard_key,standard_title,grade,level,text
engages_and_explores,ENGAGES AND EXPLORES,9,emerging,"Begins to demonstrate engagement in artistic exploration, taking minimal creative risks"
engages_and_explores,ENGAGES AND EXPLORES,9,developing,"Somewhat demonstrates engagement in artistic exploration, experimenting with familiar ideas and some creative risks"
engages_and_explores,ENGAGES AND EXPLORES,9,proficient,"• Demonstrates engagement in artist exploration, experimenting with a range of ideas that show creative risks"
engages_and_explores,ENGAGES AND EXPLORES,9,extending,"Fully demonstrates engagement in artistic exploration, independently experimenting with a wide range of ideas that thoroughly show creative risks"
engages_and_explores,ENGAGES AND EXPLORES,10,emerging,"Begins to demonstrate engagement in artistic exploration, often relying on safe, familiar choices resulting in limited creative risks"
engages_and_explores,ENGAGES AND EXPLORES,10,developing,"Demonstrates adequate engagement in artistic exploration, experimenting with new ideas with some independence that show some creative risks"
engages_and_explores,ENGAGES AND EXPLORES,10,proficient,"Demonstrates substantial engagement in artistic exploration, experimenting with a range of new ideas independently that show substantial creative risks"
engages_and_explores,ENGAGES AND EXPLORES,10,extending,"Demonstrates excellent engagement in artistic exploration, experimenting with a wide range of new ideas independently and purposefully that thoroughly show creative risks"
engages_and_explores,ENGAGES AND EXPLORES,11,emerging,"Demonstrates limited engagement in artistic exploration, with minimal investment resulting in few creative risks"
engages_and_explores,ENGAGES AND EXPLORES,11,developing,"• Demonstrates adequate engagement in artistic exploration, experimenting with new ideas with some creative initiative that show some creative risks"
engages_and_explores,ENGAGES AND EXPLORES,11,proficient,"Demonstrates substantial engagement in artistic exploration, experimenting with a range of new ideas confidently and independently that show substantial creative risks"
engages_and_explores,ENGAGES AND EXPLORES,11,extending,"Demonstrates thorough and excellent engagement in artistic exploration, experimenting with a wide range of new ideas independently and purposefully that thoroughly show creative risks"
engages_and_explores,ENGAGES AND EXPLORES,12,emerging,"Demonstrates and applies limited engagement in artistic exploration, with limited initiative resulting in few creative risks"
engages_and_explores,ENGAGES AND EXPLORES,12,developing,"Demonstrates and applies adequate engagement in artistic exploration, experimenting with new ideas with some creative initiative that show some creative risks"
engages_and_explores,ENGAGES AND EXPLORES,12,proficient,"Demonstrates and applies substantial engagement in artistic exploration, experimenting with a range of new Ideas confidently and independently and with a clear purpose that show substantial creative risks"
