standard_key,standard_title,grade,level,text
understanding_context,UNDERSTANDING CONTEXT,9,emerging,"Begins to explore research and empathetic observation to begin to understand needs and uncover design opportunities, guided by curiosity and compassion.

States design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
understanding_context,UNDERSTANDING CONTEXT,9,developing,"Somewhat explores research and empathetic observation to understand some needs and uncover adequately meaningful design opportunities, guided by curiosity and compassion.

Identifies design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
understanding_context,UNDERSTANDING CONTEXT,9,proficient,"Explores research and empathetic observation to understand needs and uncover meaningful design opportunities, guided by curiosity and compassion.

Outlines design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
understanding_context,UNDERSTANDING CONTEXT,9,extending,"Explores and describes research and empathetic observation to understand needs and uncover exceptionally meaningful design opportunities, guided by curiosity and compassion.

Describes design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
understanding_context,UNDERSTANDING CONTEXT,10,emerging,"Explores research and empathetic observation to understand needs and uncover meaningful design opportunities, guided by curiosity and compassion.

Identifies design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
understanding_context,UNDERSTANDING CONTEXT,10,developing,"Explores and describes research and empathetic observation to understand needs and uncover meaningful design opportunities, guided by curiosity and compassion.

Outlines design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
understanding_context,UNDERSTANDING CONTEXT,10,proficient,"Explores and explains research and empathetic observation to understand needs and uncover meaningful design opportunities, guided by curiosity and compassion.

Describes design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
understanding_context,UNDERSTANDING CONTEXT,10,extending,"Explores and justifies research and empathetic observation to understand needs and uncover exceptionally meaningful design opportunities, guided by curiosity and compassion.

Explains design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
understanding_context,UNDERSTANDING CONTEXT,11,emerging,"Outlines design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment.

Explores and explains research and empathetic observation to understand needs and uncover meaningful design opportunities, guided by curiosity and compassion."
understanding_context,UNDERSTANDING CONTEXT,11,developing,"Describes design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment.

Explores and justifies research and empathetic observation to understand needs and uncover meaningful design opportunities, guided by curiosity and compassion."
understanding_context,UNDERSTANDING CONTEXT,11,proficient,"Explains design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment.

Synthesizes and justifies research and empathetic observation to understand needs and uncover meaningful design opportunities, guided by curiosity and compassion."
understanding_context,UNDERSTANDING CONTEXT,11,extending,"Justifies design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment.

Synthesizes and justifies research and empathetic observation to understand needs and uncover exceptionally meaningful design opportunities, guided by curiosity and compassion."
understanding_context,UNDERSTANDING CONTEXT,12,emerging,"Describes design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
understanding_context,UNDERSTANDING CONTEXT,12,developing,"Explains design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
understanding_context,UNDERSTANDING CONTEXT,12,proficient,"Justifies design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
understanding_context,UNDERSTANDING CONTEXT,12,extending,"Justifies, and evaluates decisions of, design skills, tools, and technologies needed based on social, ethical, and/or sustainability considerations to serve individuals, communities, and/or the environment."
define_and_ideate,DEFINE AND IDEATE,9,emerging,"Presents one design ideas by gathering inspiration, taking creative risks, and considering multiple viable ideas criteria and constraints.

States design idea based on intended service impact (for individuals, communities and/or the environment) and begins to recognize contextual factors (social, ethical, and/or sustainability) to serve individuals, communities, and the environment while remaining open to iteration."
define_and_ideate,DEFINE AND IDEATE,9,developing,"Presents a few feasible design ideas by gathering inspiration and taking creative risks.

Identifies design idea based on intended service impact (for individuals, communities and/or the environment) and recognizes some contextual factors (social, ethical, and/or sustainability) to serve individuals, communities, and the environment while remaining open to iteration."
define_and_ideate,DEFINE AND IDEATE,9,proficient,"Presents a range of feasible design ideas by gathering inspiration, taking creative risks, and considering constraints.

Outlines design idea based on intended service impact (for individuals, communities and/or the environment) and recognizes several contextual factors (social, ethical, and/or sustainability) to serve individuals, communities, and the environment while remaining open to iteration."
define_and_ideate,DEFINE AND IDEATE,9,extending,"Presents a wide range of feasible design ideas by gathering inspiration, taking creative risks, and considering viable ideas criteria and constraints.

Describes design idea based on intended service impact (for individuals, communities and/or the environment) and recognizes a range of contextual factors (social, ethical, and/or sustainability) to serve individuals, communities, and the environment while remaining open to iteration."
define_and_ideate,DEFINE AND IDEATE,10,emerging,"Presents a few feasible design ideas by gathering inspiration and taking creative risks.

Identifies design idea based on intended service impact (for individuals, communities and/or the environment) and begins to recognize contextual factors (social, ethical, and/or sustainability) to serve individuals, communities, and the environment while remaining open to iteration."
define_and_ideate,DEFINE AND IDEATE,10,developing,"Develops a feasible design idea by gathering inspiration, taking creative risks, and considering constraints.

Outlines design idea based on intended service impact (for individuals, communities and/or the environment) and recognizes some contextual factors (social, ethical, and/or sustainability) to serve individuals, communities, and the environment while remaining open to iteration."
define_and_ideate,DEFINE AND IDEATE,10,proficient,"Develops a range of feasible design ideas by gathering inspiration, taking creative risks, and considering viable ideas criteria and constraints.

Describes design idea based on intended service impact (for individuals, communities and/or the environment) and recognizes a range of contextual factors (social, ethical, and/or sustainability) to serve individuals, communities, and the environment while remaining open to iteration."
define_and_ideate,DEFINE AND IDEATE,10,extending,"Develops a wide range of feasible design ideas by gathering inspiration, taking creative risks, and considering multiple viable ideas criteria and constraints.

Explains design idea based on intended service impact (for individuals, communities and/or the environment) and recognizes a range of contextual factors (social, ethical, and/or sustainability) to serve individuals, communities, and the environment while remaining open to iteration."
define_and_ideate,DEFINE AND IDEATE,11,emerging,"Develops few feasible design ideas by gathering inspiration, taking creative risks, and considering constraints.

Outlines design idea based on intended service impact (for individuals, communities and/or the environment) and recognizes some contextual factors (social, ethical, and/or sustainability) to serve individuals, communities, and the environment while remaining open to iteration."
define_and_ideate,DEFINE AND IDEATE,11,developing,"Develops some feasible design ideas by gathering inspiration, taking creative risks, and considering viable ideas criteria and constraints.

Describes design idea based on intended service impact (for individuals, communities and/or the environment) and recognizes a range of contextual factors (social, ethical, and/or sustainability) to serve individuals, communities, and the environment while remaining open to iteration."
define_and_ideate,DEFINE AND IDEATE,11,proficient,"Develops a range of feasible design ideas by gathering inspiration, taking creative risks, and examining viable ideas criteria and constraints, describing limitations.

Explains design idea based on intended service impact (for individuals, communities and/or the environment) and recognizes a range of contextual factors (social, ethical, and/or sustainability) to serve individuals, communities, and the environment while remaining open to iteration."
